EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,143.59,27.25,0.1378
10,152.57,28.95,0.0933
20,154.57,29.33,0.1267
30,156.24,29.65,0.1089
40,157.15,29.82,0.1533
50,157.75,29.93,0.1756
100,161.03,30.56,0.1911
150,163.62,31.05,0.1289
200,166.08,31.51,0.1356
250,168.85,32.04,0.12
300,171.26,32.5,0.1444
