wavelength (nm),flux (F_lambda)
115.0,0.412320
115.5,0.229507
116.0,0.122171
116.5,0.136122
117.0,0.181900
117.5,0.151325
118.0,0.168630
118.5,0.158584
119.0,0.034372
119.5,0.045680
120.0,0.062538
120.5,0.104686
121.0,0.246143
121.5,0.270442
122.0,0.168299
122.5,0.131535
123.0,0.211219
123.5,0.334912
124.0,0.436917
124.5,0.393979
125.0,0.367643
125.5,0.387400
126.0,0.308644
126.5,0.348625
127.0,0.451105
127.5,0.461119
128.0,0.501980
128.5,0.525676
129.0,0.483771
129.5,0.418344
130.0,0.378010
130.5,0.414787
131.0,0.550163
131.5,0.701643
132.0,0.725121
132.5,0.655677
133.0,0.612681
133.5,0.623942
134.0,0.775728
134.5,0.761059
135.0,0.793181
135.5,0.832847
136.0,0.749843
136.5,0.666835
137.0,0.700661
137.5,0.773426
138.0,0.753882
138.5,0.818267
139.0,0.779519
139.5,0.764807
140.0,0.850409
140.5,0.896403
141.0,0.881919
141.5,0.858479
142.0,0.864973
142.5,0.971266
143.0,0.999923
143.5,0.996304
144.0,1.018324
144.5,1.059793
145.0,1.141617
145.5,1.187832
146.0,1.262278
146.5,1.166564
147.0,1.091780
147.5,1.093725
148.0,1.129213
148.5,1.214525
149.0,1.270855
149.5,1.215546
150.0,1.181541
150.5,1.131591
151.0,1.083098
151.5,1.147577
152.0,1.261509
152.5,1.161182
153.0,1.094645
153.5,1.088225
154.0,1.150410
154.5,1.114273
155.0,1.124553
155.5,1.137631
156.0,1.059922
156.5,1.093553
157.0,1.115339
157.5,1.137698
158.0,1.227932
158.5,1.291683
159.0,1.358315
159.5,1.313017
160.0,1.203262
160.5,1.137450
161.0,1.098750
161.5,1.190312
162.0,1.161419
162.5,1.136840
163.0,1.152621
163.5,1.163600
164.0,1.227757
164.5,1.244686
165.0,1.187268
165.5,1.076716
166.0,1.139920
166.5,1.234632
167.0,1.178258
167.5,1.187727
168.0,1.285923
168.5,1.276763
169.0,1.215669
169.5,1.197861
170.0,1.184317
170.5,1.113732
171.0,1.056499
171.5,1.021928
172.0,0.977762
172.5,1.050156
173.0,1.154779
173.5,1.151282
174.0,1.137072
174.5,1.132545
175.0,1.176534
175.5,1.272560
176.0,1.218064
176.5,1.199285
177.0,1.184295
177.5,1.204787
178.0,1.257901
178.5,1.084243
179.0,0.936867
179.5,1.248224
180.0,1.344958
180.5,1.283225
181.0,1.248907
181.5,1.200983
182.0,1.177755
182.5,1.182348
183.0,1.147817
183.5,1.135644
184.0,1.047221
184.5,0.959258
185.0,0.916058
185.5,0.897002
186.0,0.912099
186.5,0.974752
187.0,1.053117
187.5,1.040561
188.0,0.962459
188.5,0.863171
189.0,0.802567
189.5,0.835518
190.0,0.873909
190.5,0.882173
191.0,0.862629
191.5,0.796638
192.0,0.765575
192.5,0.733082
193.0,0.761136
193.5,0.808686
194.0,0.823084
194.5,0.828032
195.0,0.796720
195.5,0.806036
196.0,0.787524
196.5,0.655363
197.0,0.739987
197.5,0.887329
198.0,0.828807
198.5,0.852685
199.0,0.760040
199.5,0.590829
200.0,0.605270
200.5,0.613045
201.0,0.624083
201.5,0.652376
202.0,0.623898
202.5,0.611687
203.0,0.640132
203.5,0.607059
204.0,0.523948
204.5,0.478477
205.0,0.453454
205.5,0.504419
206.0,0.521784
206.5,0.483261
207.0,0.486426
207.5,0.515874
208.0,0.538163
208.5,0.477838
209.0,0.488892
209.5,0.370151
210.0,0.306397
210.5,0.425502
211.0,0.525076
211.5,0.445945
212.0,0.417657
212.5,0.554016
213.0,0.495619
213.5,0.386250
214.0,0.367944
214.5,0.384584
215.0,0.380903
215.5,0.418297
216.0,0.464434
216.5,0.393905
217.0,0.364213
217.5,0.265638
218.0,0.223139
218.5,0.290441
219.0,0.286555
219.5,0.295500
220.0,0.309602
220.5,0.321845
221.0,0.315584
221.5,0.290519
222.0,0.256953
222.5,0.298632
223.0,0.341145
223.5,0.361153
224.0,0.343878
224.5,0.245050
225.0,0.353898
225.5,0.459061
226.0,0.346091
226.5,0.336951
227.0,0.442956
227.5,0.407683
228.0,0.399038
228.5,0.385065
229.0,0.462922
229.5,0.493365
230.0,0.505719
230.5,0.535001
231.0,0.597171
231.5,0.638045
232.0,0.546936
232.5,0.578226
233.0,0.705555
233.5,0.644971
234.0,0.565888
234.5,0.657717
235.0,0.674208
235.5,0.626296
236.0,0.623266
236.5,0.589891
237.0,0.572960
237.5,0.673553
238.0,0.763177
238.5,0.773624
239.0,0.708704
239.5,0.718055
240.0,0.884579
240.5,0.790534
241.0,0.695972
241.5,0.638871
242.0,0.701426
242.5,0.846270
243.0,0.945578
243.5,0.860382
244.0,0.798387
244.5,0.928310
245.0,0.963021
245.5,1.014711
246.0,1.122243
246.5,1.083579
247.0,0.961126
247.5,1.010292
248.0,1.002160
248.5,0.978105
249.0,1.011175
249.5,0.988956
250.0,1.145952
250.5,1.215984
251.0,1.163413
