wavelength (nm),flux (F_lambda)
115.0,0.000000
115.5,0.000000
116.0,0.000193
116.5,0.000000
117.0,0.000000
117.5,0.000000
118.0,0.000000
118.5,0.000000
119.0,0.000000
119.5,0.000000
120.0,0.000192
120.5,0.000928
121.0,0.003801
121.5,0.007548
122.0,0.005202
122.5,0.001018
123.0,0.000067
123.5,0.000082
124.0,0.000051
124.5,0.000000
125.0,0.000034
125.5,0.000036
126.0,0.000050
126.5,0.000033
127.0,0.000016
127.5,0.000085
128.0,0.000080
128.5,0.000079
129.0,0.000438
129.5,0.001219
130.0,0.002552
130.5,0.003452
131.0,0.001554
131.5,0.000261
132.0,0.000050
132.5,0.000027
133.0,0.000042
133.5,0.000116
134.0,0.000163
134.5,0.000128
135.0,0.000155
135.5,0.000238
136.0,0.000229
136.5,0.000153
137.0,0.000117
137.5,0.000151
138.0,0.000138
138.5,0.000064
139.0,0.000033
139.5,0.000074
140.0,0.000041
140.5,0.000054
141.0,0.000052
141.5,0.000034
142.0,0.000020
142.5,0.000050
143.0,0.000077
143.5,0.000095
144.0,0.000031
144.5,0.000052
145.0,0.000095
145.5,0.000057
146.0,0.000060
146.5,0.000143
147.0,0.000301
147.5,0.000234
148.0,0.000161
148.5,0.000204
149.0,0.000145
149.5,0.000171
150.0,0.000204
150.5,0.000170
151.0,0.000122
151.5,0.000093
152.0,0.000054
152.5,0.000140
153.0,0.000185
153.5,0.000194
154.0,0.000178
154.5,0.000134
155.0,0.000136
155.5,0.000101
156.0,0.000041
156.5,0.000029
157.0,0.000044
157.5,0.000078
158.0,0.000124
158.5,0.000111
159.0,0.000130
159.5,0.000122
160.0,0.000070
160.5,0.000091
161.0,0.000091
161.5,0.000156
162.0,0.000125
162.5,0.000095
163.0,0.000068
163.5,0.000109
164.0,0.000280
164.5,0.000242
165.0,0.000141
165.5,0.000168
166.0,0.000206
166.5,0.000178
167.0,0.000176
167.5,0.000165
168.0,0.000193
168.5,0.000107
169.0,0.000101
169.5,0.000126
170.0,0.000171
170.5,0.000160
171.0,0.000173
171.5,0.000196
172.0,0.000204
172.5,0.000211
173.0,0.000226
173.5,0.000209
174.0,0.000194
174.5,0.000225
175.0,0.000320
175.5,0.000333
176.0,0.000190
176.5,0.000198
177.0,0.000258
177.5,0.000317
178.0,0.000366
178.5,0.000367
179.0,0.000342
179.5,0.000371
180.0,0.000467
180.5,0.000525
181.0,0.000588
181.5,0.000732
182.0,0.000773
182.5,0.000507
183.0,0.000374
183.5,0.000381
184.0,0.000345
184.5,0.000342
185.0,0.000314
185.5,0.000326
186.0,0.000350
186.5,0.000351
187.0,0.000398
187.5,0.000377
188.0,0.000417
188.5,0.000488
189.0,0.000513
189.5,0.000562
190.0,0.000553
190.5,0.000489
191.0,0.000443
191.5,0.000475
192.0,0.000506
192.5,0.000506
193.0,0.000529
193.5,0.000546
194.0,0.000593
194.5,0.000656
195.0,0.000604
195.5,0.000000
196.0,0.000000
196.5,0.000000
197.0,0.000226
197.5,0.000153
198.0,0.000041
198.5,0.000000
199.0,0.000049
199.5,0.000899
200.0,0.000845
200.5,0.001524
201.0,0.000548
201.5,0.000746
202.0,0.000660
202.5,0.001027
203.0,0.000371
203.5,0.000000
204.0,0.000000
204.5,0.000223
205.0,0.001180
205.5,0.000311
206.0,0.000000
206.5,0.000504
207.0,0.001152
207.5,0.001055
208.0,0.000791
208.5,0.001012
209.0,0.000374
209.5,0.000118
210.0,0.000887
210.5,0.000945
211.0,0.000000
211.5,0.000386
212.0,0.000535
212.5,0.000000
213.0,0.000123
213.5,0.000073
214.0,0.000789
214.5,0.000952
215.0,0.001290
215.5,0.001443
216.0,0.000948
216.5,0.000800
217.0,0.000541
217.5,0.000425
218.0,0.000805
218.5,0.000400
219.0,0.000492
219.5,0.000548
220.0,0.000394
220.5,0.000608
221.0,0.000646
221.5,0.001180
222.0,0.001148
222.5,0.000661
223.0,0.000762
223.5,0.000540
224.0,0.001145
224.5,0.002020
225.0,0.001961
225.5,0.002388
226.0,0.002905
226.5,0.002421
227.0,0.002276
227.5,0.002562
228.0,0.002347
228.5,0.002002
229.0,0.001483
229.5,0.000871
230.0,0.001192
230.5,0.001325
231.0,0.001202
231.5,0.001441
232.0,0.001195
232.5,0.002333
233.0,0.002174
233.5,0.003051
234.0,0.002342
234.5,0.002064
235.0,0.002857
235.5,0.002225
236.0,0.002912
236.5,0.003083
237.0,0.002903
237.5,0.002819
238.0,0.002837
238.5,0.003114
239.0,0.003371
239.5,0.003394
240.0,0.002628
240.5,0.002845
241.0,0.002977
241.5,0.002850
242.0,0.003120
242.5,0.002937
243.0,0.002748
243.5,0.003376
244.0,0.003845
244.5,0.003588
245.0,0.003409
245.5,0.004148
246.0,0.004413
246.5,0.004006
247.0,0.003370
247.5,0.003781
248.0,0.003873
248.5,0.003812
249.0,0.003694
249.5,0.002881
250.0,0.002922
250.5,0.003315
251.0,0.004023
251.5,0.003838
252.0,0.003554
252.5,0.002694
253.0,0.002718
253.5,0.003584
254.0,0.003727
254.5,0.003507
255.0,0.003522
255.5,0.004006
256.0,0.004803
256.5,0.004945
257.0,0.005275
257.5,0.005496
258.0,0.003685
258.5,0.003380
259.0,0.004578
259.5,0.005299
260.0,0.005497
260.5,0.005402
261.0,0.005403
261.5,0.005856
262.0,0.006553
262.5,0.007318
263.0,0.007458
263.5,0.007587
264.0,0.008624
264.5,0.009045
265.0,0.008708
265.5,0.008885
266.0,0.009338
266.5,0.008993
267.0,0.009166
267.5,0.009846
268.0,0.009253
268.5,0.009302
269.0,0.009280
269.5,0.008772
270.0,0.008829
270.5,0.009359
271.0,0.010100
271.5,0.010216
272.0,0.010213
272.5,0.009499
273.0,0.010333
273.5,0.011288
274.0,0.011813
274.5,0.010764
275.0,0.009754
275.5,0.009977
276.0,0.010735
276.5,0.012400
277.0,0.012144
277.5,0.012642
278.0,0.012558
278.5,0.009481
279.0,0.009975
279.5,0.021810
280.0,0.043540
280.5,0.042073
281.0,0.030043
281.5,0.014733
282.0,0.013393
282.5,0.014849
283.0,0.014907
283.5,0.014359
284.0,0.014377
284.5,0.014094
285.0,0.013672
285.5,0.011057
286.0,0.011389
286.5,0.013641
287.0,0.015147
287.5,0.016593
288.0,0.015853
288.5,0.016496
289.0,0.019383
289.5,0.020082
290.0,0.021617
290.5,0.026528
291.0,0.027382
291.5,0.025568
292.0,0.027203
292.5,0.026321
293.0,0.023457
293.5,0.025494
294.0,0.026059
294.5,0.025447
295.0,0.025657
295.5,0.026095
296.0,0.028905
296.5,0.029434
297.0,0.023896
297.5,0.022498
298.0,0.028111
298.5,0.026051
299.0,0.023320
299.5,0.028455
300.0,0.028264
300.5,0.025377
301.0,0.027118
301.5,0.028588
302.0,0.025489
302.5,0.021767
303.0,0.028672
303.5,0.035841
304.0,0.035697
304.5,0.032487
