wavelength (nm),flux (F_lambda)
115.0,22.925695
115.5,17.003479
116.0,13.857224
116.5,13.475615
117.0,12.094208
117.5,10.645069
118.0,11.337811
118.5,10.842136
119.0,7.760071
119.5,5.460251
120.0,4.586621
120.5,2.270096
121.0,0.974556
121.5,0.867654
122.0,2.103891
122.5,4.221054
123.0,6.753571
123.5,9.279733
124.0,11.146892
124.5,11.471576
125.0,11.529255
125.5,11.082434
126.0,9.741821
126.5,10.160810
127.0,11.653098
127.5,11.595675
128.0,12.210112
128.5,12.354135
129.0,11.392200
129.5,9.691000
130.0,8.337968
130.5,7.888395
131.0,9.362967
131.5,11.826160
132.0,12.151141
132.5,11.191621
133.0,10.211372
133.5,9.822821
134.0,11.109217
134.5,11.636987
135.0,11.362291
135.5,11.231976
136.0,10.897443
136.5,10.322062
137.0,10.349401
137.5,10.458812
138.0,10.296722
138.5,10.301939
139.0,10.060229
139.5,9.641298
140.0,9.742609
140.5,9.590167
141.0,9.388226
141.5,9.348318
142.0,9.585935
142.5,9.823153
143.0,9.727244
143.5,9.634408
144.0,9.970716
144.5,10.207726
145.0,10.329048
145.5,10.441923
146.0,10.262421
146.5,9.971535
147.0,9.899981
147.5,9.840605
148.0,9.734473
148.5,9.584067
149.0,9.975272
149.5,10.071577
150.0,9.815913
150.5,9.289450
151.0,8.860251
151.5,8.835525
152.0,8.998365
152.5,8.702378
153.0,8.411409
153.5,8.583553
154.0,8.842937
154.5,8.977243
155.0,8.905406
155.5,8.656923
156.0,8.299724
156.5,8.410389
157.0,8.486477
157.5,8.500392
158.0,8.433697
158.5,8.594638
159.0,8.411073
159.5,8.239865
160.0,8.049324
160.5,7.838521
161.0,7.650166
161.5,7.905583
162.0,7.995173
162.5,7.921497
163.0,7.823496
163.5,7.631125
164.0,7.472720
164.5,7.467947
165.0,7.402918
165.5,7.152717
166.0,7.111197
166.5,7.195093
167.0,7.127923
167.5,7.339759
168.0,7.464513
168.5,7.408573
169.0,7.321938
169.5,7.246964
170.0,7.182808
170.5,6.972480
171.0,6.770970
171.5,6.606363
172.0,6.427233
172.5,6.487076
173.0,6.659253
173.5,6.741412
174.0,6.790554
174.5,6.786356
175.0,6.788254
175.5,6.801888
176.0,6.603824
176.5,6.531485
177.0,6.639232
177.5,6.534729
178.0,6.660614
178.5,6.432224
179.0,5.715309
179.5,6.075154
180.0,6.627184
180.5,6.529908
181.0,6.443834
181.5,6.462204
182.0,6.479518
182.5,6.411388
183.0,6.269281
183.5,6.225495
184.0,6.049969
184.5,5.933583
185.0,5.810196
185.5,5.640005
186.0,5.659861
186.5,5.854478
187.0,6.025439
187.5,6.045773
188.0,5.869182
188.5,5.649054
189.0,5.476700
189.5,5.490456
190.0,5.559043
190.5,5.471645
191.0,5.422786
191.5,5.336816
192.0,5.209217
192.5,5.098296
193.0,5.263549
193.5,5.377991
194.0,5.372302
194.5,5.384232
195.0,5.331078
195.5,5.261199
196.0,5.122283
196.5,5.086014
197.0,4.991969
197.5,5.174400
198.0,5.192065
198.5,5.141908
199.0,5.073022
199.5,4.915436
200.0,4.906571
200.5,4.925354
201.0,4.794370
201.5,4.985375
202.0,5.068687
202.5,4.983259
203.0,4.916572
