wavelength (nm),flux (F_lambda)
115.0,0.000552
115.5,0.000268
116.0,0.001178
116.5,0.001870
117.0,0.001687
117.5,0.001931
118.0,0.000997
118.5,0.000213
119.0,0.000375
119.5,0.000177
120.0,0.001990
120.5,0.006394
121.0,0.029827
121.5,0.047022
122.0,0.022877
122.5,0.003958
123.0,0.000804
123.5,0.000810
124.0,0.000891
124.5,0.000489
125.0,0.000518
125.5,0.000574
126.0,0.000918
126.5,0.000646
127.0,0.000167
127.5,0.000209
128.0,0.000209
128.5,0.000215
129.0,0.000332
129.5,0.000337
130.0,0.001421
130.5,0.001756
131.0,0.000669
131.5,0.000404
132.0,0.000352
132.5,0.000514
133.0,0.001297
133.5,0.002449
134.0,0.000801
134.5,0.000256
135.0,0.000549
135.5,0.000563
136.0,0.000400
136.5,0.000334
137.0,0.000209
137.5,0.000111
138.0,0.000248
138.5,0.000410
139.0,0.000770
139.5,0.000748
140.0,0.000468
140.5,0.000596
141.0,0.000450
141.5,0.000453
142.0,0.000478
142.5,0.000491
143.0,0.000294
143.5,0.000280
144.0,0.000320
144.5,0.000388
145.0,0.000463
145.5,0.000315
146.0,0.000434
146.5,0.000540
147.0,0.000636
147.5,0.000722
148.0,0.000670
148.5,0.000788
149.0,0.000633
149.5,0.000725
150.0,0.000821
150.5,0.000534
151.0,0.000419
151.5,0.000487
152.0,0.000558
152.5,0.000706
153.0,0.000705
153.5,0.000717
154.0,0.000682
154.5,0.002203
155.0,0.002842
155.5,0.001154
156.0,0.001102
156.5,0.000684
157.0,0.000537
157.5,0.000774
158.0,0.000556
158.5,0.000636
159.0,0.000673
159.5,0.000695
160.0,0.000655
160.5,0.000855
161.0,0.000535
161.5,0.000499
162.0,0.000385
162.5,0.000509
163.0,0.000668
163.5,0.001177
164.0,0.001979
164.5,0.000945
165.0,0.000502
165.5,0.001598
166.0,0.001703
166.5,0.001084
167.0,0.000984
167.5,0.000595
168.0,0.000326
168.5,0.000309
169.0,0.000408
169.5,0.000671
170.0,0.000629
170.5,0.000541
171.0,0.000765
171.5,0.000871
172.0,0.000726
172.5,0.000542
173.0,0.000392
173.5,0.000537
174.0,0.000644
174.5,0.000613
175.0,0.000679
175.5,0.000654
176.0,0.000611
176.5,0.000577
177.0,0.000506
177.5,0.000578
178.0,0.000612
178.5,0.000560
179.0,0.000640
179.5,0.000678
180.0,0.000903
180.5,0.001987
181.0,0.002827
181.5,0.004028
182.0,0.003784
182.5,0.001407
183.0,0.000983
183.5,0.000872
184.0,0.000889
184.5,0.000896
185.0,0.000962
185.5,0.001101
186.0,0.001145
186.5,0.001056
187.0,0.001010
187.5,0.001110
188.0,0.001163
188.5,0.001229
189.0,0.001326
189.5,0.001333
190.0,0.001367
190.5,0.001232
191.0,0.001104
191.5,0.001189
192.0,0.001247
192.5,0.001217
193.0,0.001353
193.5,0.001284
194.0,0.001303
194.5,0.001398
195.0,0.002001
195.5,0.004247
196.0,0.002674
196.5,0.000392
197.0,0.001655
197.5,0.003958
198.0,0.002067
198.5,0.001950
199.0,0.000959
199.5,0.001280
200.0,0.003982
200.5,0.003552
201.0,0.002962
201.5,0.004446
202.0,0.003801
202.5,0.003302
203.0,0.001791
203.5,0.002258
204.0,0.001538
204.5,0.001461
205.0,0.001820
205.5,0.002708
206.0,0.003057
206.5,0.002930
207.0,0.002807
207.5,0.003715
208.0,0.004331
208.5,0.003183
209.0,0.003549
209.5,0.003680
210.0,0.003446
210.5,0.003436
211.0,0.005354
211.5,0.005224
212.0,0.005049
212.5,0.005878
213.0,0.006364
213.5,0.005535
214.0,0.005286
214.5,0.006559
215.0,0.004777
215.5,0.006118
216.0,0.007304
216.5,0.006268
217.0,0.006787
217.5,0.006845
218.0,0.006430
218.5,0.006320
219.0,0.008513
219.5,0.009732
220.0,0.009597
220.5,0.007502
221.0,0.007365
221.5,0.008373
222.0,0.007802
222.5,0.008950
223.0,0.010306
223.5,0.011831
224.0,0.012220
224.5,0.011011
225.0,0.012356
225.5,0.013505
226.0,0.012849
226.5,0.010809
227.0,0.009872
227.5,0.009411
228.0,0.010273
228.5,0.013038
229.0,0.011844
229.5,0.011186
230.0,0.013439
230.5,0.014512
231.0,0.013315
231.5,0.012085
232.0,0.012124
232.5,0.014760
233.0,0.018727
233.5,0.019397
234.0,0.018041
234.5,0.018520
235.0,0.017547
235.5,0.015235
236.0,0.017306
236.5,0.020385
237.0,0.019584
237.5,0.019637
238.0,0.022045
238.5,0.022952
239.0,0.021048
239.5,0.018756
240.0,0.021812
240.5,0.020935
241.0,0.020440
241.5,0.018845
242.0,0.016644
242.5,0.018093
243.0,0.020954
243.5,0.020961
244.0,0.019670
244.5,0.022565
245.0,0.023361
245.5,0.022548
246.0,0.021735
246.5,0.020498
247.0,0.019970
247.5,0.020037
248.0,0.021241
248.5,0.019015
249.0,0.016462
249.5,0.019530
250.0,0.024548
250.5,0.025634
251.0,0.024761
251.5,0.022948
252.0,0.019325
252.5,0.018287
253.0,0.021461
253.5,0.025319
254.0,0.028156
254.5,0.028560
255.0,0.030418
255.5,0.034087
256.0,0.036751
256.5,0.039607
257.0,0.040381
257.5,0.036852
258.0,0.023074
258.5,0.028802
259.0,0.042585
259.5,0.045649
260.0,0.044725
260.5,0.043898
261.0,0.043069
261.5,0.042272
262.0,0.043734
262.5,0.044248
263.0,0.045155
263.5,0.044778
264.0,0.046858
264.5,0.048172
265.0,0.046760
265.5,0.047693
266.0,0.048838
266.5,0.047524
267.0,0.047244
267.5,0.046331
268.0,0.045293
268.5,0.046206
269.0,0.046602
269.5,0.045224
270.0,0.045723
270.5,0.046813
271.0,0.046362
271.5,0.045390
272.0,0.040682
272.5,0.038388
273.0,0.042438
273.5,0.043620
274.0,0.040587
274.5,0.040738
275.0,0.041551
275.5,0.042701
276.0,0.044163
276.5,0.045853
277.0,0.046454
277.5,0.048235
278.0,0.045765
278.5,0.043354
279.0,0.044807
279.5,0.048996
280.0,0.050924
280.5,0.049464
281.0,0.047010
281.5,0.047703
