wavelength (nm),flux (F_lambda)
115.0,73.493500
115.5,52.056973
116.0,40.107903
116.5,38.053719
117.0,33.118893
117.5,28.777067
118.0,31.390661
118.5,32.248375
119.0,25.719637
119.5,21.616589
120.0,17.721020
120.5,9.695179
121.0,5.745954
121.5,6.163960
122.0,12.080103
122.5,19.185986
123.0,24.457176
123.5,29.298016
124.0,31.457657
124.5,30.663395
125.0,29.722422
125.5,29.280947
126.0,27.750990
126.5,27.883957
127.0,29.480719
127.5,29.160965
128.0,29.587063
128.5,29.411196
129.0,26.972240
129.5,23.183989
130.0,21.063238
130.5,21.724607
131.0,25.007467
131.5,28.309021
132.0,28.007080
132.5,25.990555
133.0,23.723190
133.5,22.362755
134.0,24.811134
134.5,25.928602
135.0,25.584450
135.5,24.986406
136.0,24.467216
136.5,23.690077
137.0,23.507584
137.5,23.137611
138.0,22.569839
138.5,21.943096
139.0,20.535585
139.5,19.633612
140.0,20.237179
140.5,20.654678
141.0,20.547613
141.5,20.258307
142.0,20.551321
142.5,20.671408
143.0,20.721645
143.5,20.734180
144.0,21.135206
144.5,21.292837
145.0,21.394447
145.5,21.278160
146.0,21.060345
146.5,20.869003
147.0,20.616579
147.5,20.397402
148.0,20.401340
148.5,20.299938
149.0,20.576220
149.5,19.938946
150.0,19.091181
150.5,18.561932
151.0,18.038551
151.5,17.589436
152.0,18.201942
152.5,17.636599
153.0,16.813377
153.5,16.917498
154.0,17.232340
154.5,17.186981
155.0,17.228636
155.5,17.070843
156.0,16.721367
156.5,16.831522
157.0,16.953222
157.5,16.842409
158.0,16.742388
158.5,16.931471
159.0,16.809368
159.5,16.322369
160.0,15.809428
160.5,15.670732
161.0,15.492072
161.5,15.779003
162.0,15.684700
162.5,15.450562
163.0,15.325065
163.5,15.218274
164.0,15.098079
164.5,15.328860
165.0,15.062925
165.5,14.646425
166.0,14.607845
166.5,14.805967
167.0,14.587255
167.5,14.891651
168.0,15.011142
168.5,14.804092
169.0,14.513647
169.5,14.393522
170.0,14.197844
170.5,13.752257
171.0,13.426402
171.5,13.180688
172.0,12.771022
172.5,12.995604
173.0,13.577050
173.5,13.675479
174.0,13.426980
174.5,13.355306
175.0,13.376396
175.5,13.453515
176.0,13.212234
176.5,13.300427
177.0,13.207828
177.5,12.884406
178.0,13.064225
178.5,12.397820
179.0,11.295619
179.5,12.484447
180.0,12.926625
180.5,12.877028
181.0,12.846282
181.5,12.639359
182.0,12.581686
182.5,12.578995
183.0,12.401571
183.5,12.074924
184.0,11.677075
184.5,11.367785
185.0,11.091774
185.5,10.868664
186.0,11.034284
186.5,11.296078
187.0,11.637557
187.5,11.564006
188.0,11.088074
188.5,10.603195
189.0,10.312652
189.5,10.322340
190.0,10.473283
190.5,10.322605
191.0,10.058705
191.5,9.841105
192.0,9.711845
192.5,9.716064
193.0,9.885206
193.5,10.026383
194.0,10.017025
194.5,10.094479
195.0,9.861340
195.5,9.499817
196.0,9.088276
196.5,9.094008
197.0,9.366223
197.5,9.614190
198.0,9.833552
198.5,9.850756
199.0,9.147198
199.5,8.769544
200.0,8.847930
200.5,8.976512
201.0,9.030476
201.5,9.138763
202.0,9.214747
202.5,9.341574
203.0,9.378438
203.5,9.175292
204.0,9.093633
204.5,8.790895
205.0,8.968829
205.5,8.820972
206.0,8.416173
206.5,8.552556
207.0,9.001864
207.5,9.185249
208.0,9.005774
208.5,8.898130
209.0,9.026948
209.5,8.620667
210.0,8.415735
210.5,8.551138
211.0,8.528068
211.5,8.664607
212.0,8.436861
212.5,8.406786
213.0,8.474295
213.5,8.263382
214.0,8.222071
214.5,8.278399
215.0,8.045949
215.5,8.101456
216.0,8.275020
216.5,8.146863
217.0,7.931754
217.5,7.675393
218.0,7.666683
218.5,7.874801
219.0,7.836823
219.5,7.813819
220.0,7.799505
220.5,7.615160
221.0,7.340442
221.5,7.082657
222.0,7.119599
222.5,7.003537
223.0,6.879211
223.5,6.816163
224.0,6.833563
224.5,6.810544
225.0,7.106459
225.5,7.070928
226.0,6.906289
226.5,6.894146
227.0,6.907609
227.5,6.873181
228.0,6.867875
228.5,6.863197
229.0,6.957437
229.5,6.849367
230.0,6.637064
230.5,6.450411
231.0,6.866865
231.5,6.916873
232.0,6.607712
232.5,6.393002
233.0,6.366454
233.5,6.461786
234.0,6.335679
234.5,6.208396
235.0,6.356216
235.5,6.417956
236.0,6.420489
236.5,6.324545
237.0,6.391330
237.5,6.327062
238.0,6.113898
238.5,6.062019
239.0,5.853863
239.5,5.998220
240.0,6.047224
240.5,5.941816
241.0,5.834746
241.5,5.886011
242.0,5.880982
242.5,5.872650
243.0,5.971228
243.5,5.948529
244.0,5.886805
244.5,5.897670
245.0,5.964781
245.5,6.137732
246.0,6.140841
246.5,6.029321
247.0,5.859599
