EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,33.76,2.12,0.24
10,34.13,2.15,0.22
20,34.72,2.18,0.18
30,35.4,2.23,0.16
40,36.36,2.29,0.16
50,37.42,2.35,0.18
100,44.47,2.8,0.31
150,53.95,3.39,0.38
200,66.09,4.16,0.64
250,78.76,4.95,0.89
300,91.16,5.73,0.71
