EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,161.98,9.88,0.26
10,165.04,10.06,0.1
20,164.98,10.06,0.06
30,166.35,10.14,0.04
40,165.97,10.12,0.07
50,166.84,10.17,0.1
100,168.15,10.25,0.04
150,170.78,10.41,0.12
200,171.76,10.47,0.06
250,173.4,10.57,0.02
300,174.99,10.67,0.04
