EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,14.55,3.53,0.0111
10,14.23,3.67,0.0156
20,15.14,3.9,0.0111
30,16.43,4.23,0.0111
40,17.8,4.59,0.1044
50,19.85,5.12,0.0644
100,31.61,8.15,0.0844
150,45.05,11.61,0.12
200,59,15.21,0.1044
250,73.91,19.05,0.0667
300,89.54,23.08,0.0778
