EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,66.01,15.04,0.0111
10,66.13,15.06,0.0311
20,66.07,15.05,0.0067
30,66,15.03,0.0111
40,66.14,15.07,0.0356
50,66.2,15.08,0.0067
100,66.73,15.2,0.0133
150,67.31,15.33,0.0044
200,68.07,15.51,0.0156
250,68.82,15.68,0.0178
300,69.52,15.84,0.0244
