EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,83.68,5.23,0.04
10,85.44,5.34,0.08
20,85.6,5.35,0.03
30,85.81,5.36,0.05
40,86.08,5.38,0.04
50,86.4,5.4,0.04
100,87.84,5.49,0.04
150,89.39,5.59,0.04
200,90.72,5.67,0.04
250,92.11,5.76,0.03
300,93.39,5.84,0.03
