EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,169.25,32.12,0.1822
10,181.39,34.42,0.26
20,184.36,34.98,0.2978
30,186.07,35.31,0.2956
40,187.61,35.6,0.2333
50,188.03,35.68,0.1467
100,190.46,36.14,0.3133
150,192.41,36.51,0.2733
200,193.55,36.73,0.2689
250,194.83,36.97,0.34
300,196.08,37.21,0.2622
