EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,82.93,5.18,0.12
10,85.49,5.34,0.09
20,86.35,5.4,0.08
30,86.51,5.41,0.04
40,86.88,5.43,0.04
50,87.36,5.46,0.03
100,89.71,5.61,0.02
150,92.27,5.77,0.02
200,94.88,5.93,0.01
250,98.03,6.13,0.01
300,101.28,6.33,0.01
