Wavelength (nm),Transmitance (%)
350,41.01
400,57.93
450,71.43
500,86.17
550,86.34
600,87.13
650,85.78
700,85.07
750,74.61
800,62.76
850,47.36
900,30.75
950,15.8
1000,6.58
1050,1.33
1100,0.35
