Wavelength (nm),Transmitance (%)
675,99.9961144375783
676.767676767677,99.9970655775842
678.535353535354,99.9976895162827
680.30303030303,99.9980791635031
682.070707070707,99.9983167482989
683.838383838384,99.9984652274045
685.606060606061,99.9985669118203
687.373737373737,99.9986496413556
689.141414141414,99.9987522450403
690.909090909091,99.9988912143507
692.676767676768,99.9990071761067
694.444444444444,99.9990636972204
696.212121212121,99.9991148856744
697.979797979798,99.9992010553146
699.747474747475,99.9992854357215
701.515151515152,99.9993358586722
703.282828282828,99.999369224885
705.050505050505,99.9994046060326
706.818181818182,99.9994497480128
708.585858585859,99.9995010353853
710.353535353535,99.9995377520751
712.121212121212,99.9995533999238
713.888888888889,99.9995734967967
715.656565656566,99.9996101715376
717.424242424242,99.9996463373807
719.191919191919,99.9996753387089
720.959595959596,99.99971055625
722.727272727273,99.9997508729457
724.49494949495,99.9997728268316
726.262626262626,99.9997716185272
728.030303030303,99.9997713033495
729.79797979798,99.9997883469787
731.565656565657,99.9998200097921
733.333333333333,99.9998530261552
735.10101010101,99.9998675988246
736.868686868687,99.9998662312232
738.636363636364,99.9998733606487
740.40404040404,99.9998923048968
742.171717171717,99.9999029474549
743.939393939394,99.9999028854018
745.707070707071,99.999911078818
747.474747474748,99.9999284230532
749.242424242424,99.9999368819406
751.010101010101,99.999936654068
752.777777777778,99.9999413384793
754.545454545455,99.9999517452414
756.313131313131,99.9999593030895
758.080808080808,99.999961968346
759.848484848485,99.9999628327704
761.616161616162,99.9999645017086
763.383838383838,99.9999691446361
765.151515151515,99.9999753964215
766.919191919192,99.9999794931242
768.686868686869,99.9999817667521
770.454545454546,99.999984548075
772.222222222222,99.9999875026562
773.989898989899,99.9999885027136
775.757575757576,99.9999881274491
777.525252525253,99.9999877548494
779.292929292929,99.9999889124179
781.060606060606,99.999992554477
782.828282828283,99.9999954311803
784.59595959596,99.9999952767173
786.363636363636,99.99999367818
788.131313131313,99.999994188223
789.89898989899,99.9999962714282
791.666666666667,99.9999973749076
793.434343434343,99.9999975394841
795.20202020202,99.9999975410737
796.969696969697,99.9999976290088
798.737373737374,99.9999977675854
800.505050505051,99.9999978313663
802.272727272727,99.9999976995447
804.040404040404,99.9999975294261
805.808080808081,99.999997525866
807.575757575758,99.9999974336483
809.343434343434,99.9999969995189
811.111111111111,99.9999966983853
812.878787878788,99.9999969550166
814.646464646465,99.9999976830756
816.414141414142,99.9999978446826
818.181818181818,99.9999974752713
819.949494949495,99.9999972181651
821.717171717172,99.9999970096498
823.484848484848,99.9999964744605
825.252525252525,99.9999960325326
827.020202020202,99.999995805301
828.787878787879,99.9999953671894
830.555555555556,99.9999943086747
832.323232323232,99.9999929254767
834.090909090909,99.9999918932534
835.858585858586,99.999991244335
837.626262626263,99.9999904865996
839.393939393939,99.9999890268472
841.161616161616,99.9999862382443
842.929292929293,99.9999823960574
844.69696969697,99.999978561914
846.464646464646,99.9999764773563
848.232323232323,99.9999784413193
850,99.9999865226427
