EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,41.71,10.53,0.2356
10,41.98,10.6,0.1533
20,42.32,10.69,0.0822
30,42.49,10.73,0.0733
40,42.68,10.78,0.0689
50,42.9,10.83,0.0644
100,43.97,11.1,0.0778
150,45.06,11.38,0.0933
200,46.21,11.67,0.1133
250,47.56,12.01,0.1333
300,49.09,12.4,0.1689
