EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,262.01,15.23,0.53
10,285.98,16.63,0.44
20,292.4,17,0.31
30,296.41,17.23,0.28
40,300.48,17.47,0.24
50,305.07,17.74,0.16
100,310.4,18.05,0.12
150,314.07,18.26,0.13
200,317.68,18.47,0.15
250,319.92,18.6,0.11
300,321.07,18.67,0.1
