EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,24645,1.55,0
10,24857,1.56,0
20,25175,1.58,0
30,25546,1.61,0
40,25.97,1.63,0.01
50,26394,1.66,0.01
100,29203,1.84,0.04
150,33496,2.11,0.07
200,39008,2.45,0.12
250,44467,2.8,0.21
300,51516,3.24,0.22
