EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,12.05,3.11,0.0044
10,12.25,3.16,0.0044
20,12.71,3.28,0.0044
30,13.23,3.41,0.0067
40,13.86,3.57,0.0178
50,14.65,3.78,0.0244
100,20.25,5.22,0.0933
150,26.86,6.92,0.0556
200,34.27,8.83,0.0844
250,42.12,10.86,0.0956
300,50.47,13.01,0.0822
