EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,72.71,16.56,0.1378
10,72.42,16.5,0.0956
20,72.51,16.52,0.0489
30,72.7,16.56,0.0667
40,72.67,16.55,0.0311
50,73.14,16.66,0.0133
100,74.97,17.08,0.0289
150,77.19,17.58,0.0178
200,80,18.22,0.0511
250,82.84,18.87,0.0467
300,86.76,19.76,0.0156
