Wavelength,Transmitance
(nm),(%)
350,39.6
400,61.93
450,75.66
500,87.12
550,88.2
600,88.67
650,87.36
700,86.55
750,76.48
800,64.63
850,48.95
900,32.34
950,17.37
1000,6.6
1050,1.49
1100,0.38
