Wavelength,Transmission
(nm),(%)
400,10
405,14.9
410,16.9
415,16.7
420,13.9
425,10.5
430,11
435,15.5
440,20.4
445,25.3
450,26.7
455,24.8
460,25
465,24.2
470,24.8
475,25.6
480,22.3
485,16.4
490,10.5
495,8.89
500,12.6
505,18.8
510,21.4
515,17.6
520,11.3
525,4.74
530,1.55
535,0.91
540,0.832
545,0.712
550,0.51
555,0.337
560,0.459
565,0.622
570,0.713
575,0.62
580,0.269
585,0.0522
590,0.0463
595,0.0841
600,0.12
605,0.242
610,0.274
615,0.911
620,2.29
625,3.62
630,4.36
635,3.56
640,1.89
645,1.08
650,0.884
655,0.729
660,0.587
665,0.419
670,0.221
675,0.159
680,0.17
685,0.202
690,0.25
695,0.318
700,0.392
705,0.413
710,0.384
715,0.372
720,0.374
725,0.39
730,0.418
735,0.396
740,0.353
745,0.331
750,0.264
755,0.207
760,0.239
765,0.307
770,0.357
775,0.354
780,0.319
785,0.335
790,0.431
795,0.618
800,1.05
805,2.17
810,5
815,11.2
820,20.6
825,32.2
830,43.5
835,54.6
840,66.5
845,79.3
850,90.3
855,95.3
860,96.7
865,97
870,97.2
875,97.4
880,97.6
885,97.7
890,97.7
895,97.7
900,97.7
905,97.6
910,97.5
915,97.5
920,97.5
925,97.5
930,97.7
935,97.8
940,97.9
945,97.9
950,97.9
955,98
960,98
965,98.1
970,98.2
975,98.3
980,98.3
985,98.4
990,98.4
995,98.4
1000,98.3
1005,98.1
1010,98
1015,97.9
1020,97.8
1025,97.7
1030,97.6
1035,97.6
1040,97.6
1045,97.6
1050,97.7
1055,97.6
1060,97.6
1065,97.5
1070,97.4
1075,97.4
1080,97.4
1085,97.4
1090,97.4
1095,97.3
1100,97.2
