EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,24.645,1.55,0
10,24.857,1.56,0
20,25.175,1.58,0
30,25.546,1.61,0
40,25.97,1.63,0.01
50,26.394,1.66,0.01
100,29.203,1.84,0.04
150,33.496,2.11,0.07
200,39.008,2.45,0.12
250,44.467,2.8,0.21
300,51.516,3.24,0.22
