Wavelength,Reflection
(nm),(%)
350,36.8
355,41.9
360,47.5
365,54.9
370,63.9
375,72.3
380,79.6
385,85
390,88.5
395,90.2
400,91.4
405,92.5
410,92.8
415,93.2
420,92.7
425,93.5
430,93.4
435,93.2
440,93.1
445,92.8
450,92.5
455,92.3
460,92.2
465,92
470,92
475,92.3
480,92.4
485,92.5
490,92.8
495,93.1
500,93.3
505,93.5
510,93.9
515,94
520,94
525,93
530,87.8
535,72.8
540,53.6
545,38.3
550,18.4
555,4.33
560,2.1
565,2.09
570,1.95
575,1.67
580,1.4
585,1.2
590,1.12
595,1.12
600,1.06
605,919
610,867
615,898
620,966
625,1.11
630,1.17
635,1.11
640,1.05
645,939
650,791
655,789
660,915
665,967
670,976
675,1.05
680,1.11
685,1.07
690,1.03
695,1.1
700,1.18
705,1.12
710,1
715,978
720,1.09
725,1.23
730,1.3
735,1.34
740,1.45
745,1.64
750,1.85
755,1.97
760,1.99
765,2.03
770,2.25
775,2.5
780,2.68
785,2.98
790,4.17
795,7.34
800,13.4
805,21.5
810,29.9
815,36.7
820,40.6
825,41.5
830,39.4
835,34.6
840,27.2
845,19.1
850,13.9
855,15.7
860,24
865,34.5
870,43.2
875,48.9
880,52
885,53.1
890,52.6
895,50.4
900,46.2
905,39.9
910,31.9
915,24.4
920,21.2
925,24.3
930,31.6
935,37.9
940,41.8
945,43.8
950,44.9
955,45.5
960,46.1
965,46.8
970,47.5
975,48
980,48.3
985,48.2
990,47.9
995,47.4
1000,47
1005,46.8
1010,46.8
1015,47.1
1020,47.6
1025,48
1030,48.3
1035,48.3
1040,48.1
1045,47.7
1050,46.9
1055,45.7
1060,44.1
1065,42.2
1070,39.8
1075,37
1080,34
1085,30.9
1090,27.7
1095,24.7
1100,21.7
