EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,160.06,9.76,0.25
10,163.71,9.98,0.2
20,164.41,10.03,0.21
30,164.98,10.06,0.16
40,165.03,10.06,0.16
50,165.68,10.1,0.18
100,167.16,10.19,0.18
150,167.57,10.22,0.15
200,168.22,10.26,0.15
250,169.17,10.32,0.17
300,170.36,10.39,0.18
