EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,273.19,15.88,0.2
10,287.99,16.74,0.2
20,292.51,17.01,0.19
30,294.23,17.11,0.14
40,296.3,17.23,0.17
50,299.22,17.4,0.22
100,302.66,17.6,0.15
150,304.9,17.73,0.13
200,308.05,17.91,0.13
250,310.4,18.05,0.1
300,312.75,18.18,0.12
