EM Gain,Noise (e-),Noise (ADU),Error (ADU)
2,41.82,10.56,0.2
10,42.23,10.66,0.1489
20,42.58,10.75,0.1089
30,42.9,10.83,0.0822
40,43.3,10.93,0.0756
50,43.71,11.04,0.0644
100,46.23,11.67,0.0622
150,49.45,12.49,0.0511
200,53.66,13.55,0.0467
250,58.96,14.89,0.06
300,64.86,16.38,0.0467
