Comprimento de onda,Transmission
(nm),(%)
400,95.6157706964989
424,95.6381885196894
448,95.682876765193
472,95.727765487509
496,95.7276132909387
520,95.7514746262212
544,95.7723503125852
568,95.7723492899631
592,95.8167904054142
616,95.8170873483529
640,95.8170873481903
664,95.8170873556004
688,95.8556009999756
712,95.8620314858917
736,95.8618243817917
760,95.8618243818995
784,95.8618243818995
808,95.8618243818544
832,95.8619169441116
856,95.9065645462804
880,95.9065614156071
904,95.9065614156087
928,95.9065614156087
952,95.9065614156086
976,95.9065614934768
1000,95.9148632061382
1024,95.9065614200582
1048,95.9065578472432
1072,95.9511692514394
1096,95.9512984493796
1120,95.9512984493179
1144,95.9512984493179
1168,95.9512984493179
1192,95.9512984493179
1216,95.9512984493179
1240,95.9512984493179
1264,95.9512984493123
1288,95.9513081032453
1312,95.9512864322008
1336,95.9514164080328
1360,96.0034926083189
1384,96.0034916553116
1408,96.0034916553119
1432,96.0034916553119
1456,96.0034916553119
1480,96.0034916553119
1504,96.0034916553119
1528,96.0034916553119
1552,96.0034916553119
1576,96.0034916453548
1600,95.9859692646911
