Wavelength (nm),Retardance
420,0.261380184171199
430,0.256074812792315
440,0.253142790388717
450,0.248806041398032
460,0.244745989745673
470,0.241614248938381
480,0.238912459403617
490,0.237320707396287
500,0.23608734925133
510,0.235839376867972
520,0.235661583631046
530,0.236409396877347
540,0.237081014145249
550,0.238232684222821
560,0.239473796899826
570,0.241128520144597
580,0.242438355876729
590,0.244763620098717
600,0.245890936303348
610,0.248021250512563
620,0.249378226453582
630,0.251096192570815
640,0.25246304425842
650,0.254360498004508
660,0.255331279302177
670,0.256720327156631
680,0.25765027817505
690,0.258746381986935
700,0.259451958565498
710,0.260383838577795
720,0.260906218450512
730,0.261589397319145
740,0.262025977145307
750,0.262664959632579
760,0.262983219497966
770,0.263479099136948
780,0.263785192869402
790,0.263752102159981
800,0.263743797391291
810,0.263507724990746
820,0.263372647500689
830,0.263069401255278
840,0.262922413504943
850,0.262387879654838
860,0.262063174177541
870,0.261354248822314
880,0.261016009934843
890,0.260289475478844
900,0.259793566845641
910,0.25898597976923
920,0.258297011396393
930,0.257542636004372
940,0.256779400462859
950,0.255621006518877
960,0.254820840273406
970,0.254005811308247
980,0.25297451160198
990,0.251653664871331
1000,0.251004115911981
1010,0.249855435813936
1020,0.249118768488806
1030,0.247696953488704
1040,0.24673867234877
1050,0.24575065678731
1060,0.244571762059683
1070,0.243369131164482
1080,0.242430551566927
1090,0.241166129257131
1100,0.24024958276208
