Wavelength (nm),Transmitance (%)
400,85.0157298365762
414,86.7284937539813
428,88.5109085290966
442,89.5241941169901
456,90.0144581308458
470,90.0876890035499
484,89.9034053306892
498,90.3390217098211
512,90.9409957653506
526,91.0151092638094
540,90.9401709751549
554,90.9401707589733
568,90.7677604043776
582,90.7533171838324
596,90.7218588705704
610,90.717643969425
624,90.7181215556206
638,90.7918443715186
652,90.8661217955138
666,91.0145713522925
680,91.1038162248976
694,91.1624430392836
708,91.2358613521484
722,91.1578931893303
736,90.9357175902208
750,90.9454530701895
764,90.9435090400385
778,91.0144169657417
792,91.0883106390006
806,91.1357472538576
820,91.088270939958
834,91.2412521360294
848,91.2102421637353
862,90.1758158858408
876,89.7215490048059
890,89.5343982140812
904,89.5332355099367
918,89.5360925734514
932,89.6175126257973
946,89.6812389961363
960,89.7142593747314
974,89.7629996603312
988,89.8883990586344
1002,90.0532112295122
1016,90.1991236452479
1030,90.3480345496584
1044,90.3476604278259
1058,90.347754210778
1072,90.1985308670226
1086,90.1969571232531
1100,90.4546280319557
