Wavelength (nm),Retardance
420,0.50361353990809
430,0.505901673195137
440,0.507401230163505
450,0.505799806142546
460,0.503504515620762
470,0.501727936759829
480,0.499674588300013
490,0.498683543274558
500,0.49799345598856
510,0.497970764541577
520,0.498244657333916
530,0.498893907680934
540,0.499502522166049
550,0.500108898283977
560,0.500972399037587
570,0.501548027201457
580,0.502236160393025
590,0.502829193928045
600,0.503161511603273
610,0.503570168634161
620,0.503500915959156
630,0.503477299355408
640,0.503180921930118
650,0.503048049976841
660,0.502612487232429
670,0.502167297322639
680,0.501367553607211
690,0.501378901133795
700,0.501088883608298
710,0.499981454316306
720,0.498941587864837
730,0.498430188416884
740,0.497750043410975
750,0.49696672125862
760,0.496189878844381
770,0.495550042948225
780,0.494969054266613
790,0.494333556381625
800,0.493864168400811
810,0.4933603062677
820,0.492793585280168
830,0.492163964233182
840,0.491907121989539
850,0.49202136587777
860,0.492083234464297
870,0.491625926983673
880,0.491103320077184
890,0.49111559092277
900,0.491057404330145
910,0.491258269814718
920,0.491451150053096
930,0.492016240862635
940,0.492624526337962
950,0.493293505709914
960,0.494021144309699
970,0.494756185151603
980,0.495245539984742
990,0.496098644863405
999.445905094144,0.496922593442354
1010,0.497953516685896
1020,0.498816306058002
1030,0.499753482512021
1040,0.5004427207565
1050,0.501547062499867
1060,0.502648122531726
1070,0.503296238755359
1080,0.503882195877591
1090,0.504052892534675
1100,0.504218305329953
