,primary,,,,,secondary,,,,
Band (nm),1,2,3,4,5,1,2,3,4,5
470,"92,10","92,19","92,23","92,14","92,14","91,91","91,82","91,79","91,79","91,64"
530,"91,24","91,16","91,33","91,34","91,18","91,13","91,32","91,27","91,07","91,08"
650,"89,99","90,06","90,08","90,03",90,"89,93","89,92","90,06","89,9","89,86"
880,"83,12","83,26","83,47","83,21","83,38","83,68","83,44","83,65","83,63","83,38"
